id;name;suhu;kelembaban;cahaya;keran;date
1365;syarif;28;95;00.29;50.95;04/08/20 10.30
1366;syarif;28;95;00.29;50.95;04/08/20 10.30
1367;syarif;28;95;00.29;50.95;04/08/20 10.30
1368;syarif;28;95;00.25;48.47.00;04/08/20 10.31
1369;syarif;28;95;00.25;48.47.00;04/08/20 10.31
1370;syarif;28;95;00.34;52.04.00;04/08/20 10.31
1371;syarif;28;95;00.39;52.35.00;04/08/20 10.31
1372;syarif;28;95;00.39;52.35.00;04/08/20 10.32
1373;syarif;28;95;00.29;50.95;04/08/20 10.32
1374;syarif;28;95;00.34;52.04.00;04/08/20 10.32
1375;syarif;28;95;00.29;50.95;04/08/20 10.32
1376;syarif;28;95;00.39;52.35.00;04/08/20 10.33
1377;syarif;28;95;00.29;50.95;04/08/20 10.33
1378;syarif;28;95;00.39;52.35.00;04/08/20 10.33
1379;syarif;28;95;00.39;52.35.00;04/08/20 10.33
1380;syarif;28;95;00.29;50.95;04/08/20 10.34
1381;syarif;28;95;00.29;50.95;04/08/20 10.34
1382;syarif;28;95;00.29;50.95;04/08/20 10.34
1383;syarif;28;95;00.29;50.95;04/08/20 10.35
1384;syarif;28;95;00.34;52.04.00;04/08/20 10.35
1385;syarif;28;95;00.39;52.35.00;04/08/20 10.35
1386;syarif;28;95;00.34;52.04.00;04/08/20 10.35
1387;syarif;28;95;00.39;52.35.00;04/08/20 10.36
1388;syarif;28;95;00.34;52.04.00;04/08/20 10.36
1389;syarif;28;95;00.34;52.04.00;04/08/20 10.36
1390;syarif;28;95;00.34;52.04.00;04/08/20 10.36
1391;syarif;28;95;00.29;50.95;04/08/20 10.37
1392;syarif;28;95;00.39;52.35.00;04/08/20 10.37
1393;syarif;28;95;00.34;52.04.00;04/08/20 10.37
1394;syarif;28;95;00.39;52.35.00;04/08/20 10.37
1395;syarif;28;95;00.29;50.95;04/08/20 10.38
1396;syarif;28;95;00.29;50.95;04/08/20 10.38
1397;syarif;28;95;00.29;50.95;04/08/20 10.38
1398;syarif;28;95;00.29;50.95;04/08/20 10.38
1399;syarif;28;95;00.39;52.35.00;04/08/20 10.39
1400;syarif;28;95;00.39;52.35.00;04/08/20 10.39
1401;syarif;28;95;00.29;50.95;04/08/20 10.39
1402;syarif;28;95;00.29;50.95;04/08/20 10.39
1403;syarif;28;95;00.39;52.35.00;04/08/20 10.40
1404;syarif;28;95;00.29;50.95;04/08/20 10.40
